session,hand_id,small_blind,big_blind,num_players,actions_preflop,actions_flop,actions_turn,actions_river,flop,turn,river
93,93_26_26,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 250, P2:call","P1:call, P2:raise 250, P1:call","P1:call, P2:raise 800, P1:fold",,7s 8d 4s,Th,
93,93_27_27,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_28_28,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
93,93_29_29,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 200, P2:call","P1:call, P2:call","P1:raise 100, P2:fold",,Qs 7h 6c,5h,
93,93_30_30,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 150, P2:fold",,,8h Jc Ks,,
93,93_31_31,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 244, P1:fold, P2:fold",,,,,,
93,93_32_32,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:call","P2:raise 750, P3:fold",,7s 5d 8c,Tc,
93,93_33_33,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
93,93_34_34,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:raise 900, P2:fold, P5:fold",,,,,,
93,93_35_35,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:call, P1:fold, P2:fold","P3:raise 300, P6:call","P3:call, P6:raise 400, P3:fold",,4d 4h 8h,Js,
93,93_36_36,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_37_37,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 300, P2:fold",,,,,,
93,93_38_38,50,100,6,"P3:raise 225, P4:fold, P5:call, P6:fold, P1:call, P2:fold","P1:call, P3:call, P5:raise 275, P1:fold, P3:fold",,,9c 3d 4s,,
93,93_39_39,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 225, P2:call","P2:call, P3:call","P2:call, P3:raise 450, P2:call, P3:sm, P2:sm",Qd 4d 5c,3h,Ad
93,93_40_40,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 150, P2:call","P2:call, P3:raise 575, P2:call","P2:call, P3:raise 3100, P2:fold",Qd 7s Ac,Tc,Qc
93,93_41_41,50,100,6,"P3:fold, P4:raise 225, P5:raise 720, P6:fold, P1:fold, P2:fold, P4:fold",,,,,,
93,93_42_42,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 200, P1:fold, P2:call","P2:call, P6:raise 225, P2:fold",,,3c Ac Qc,,
93,93_43_43,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:raise 700, P1:fold, P2:raise 1900, P5:fold, P6:raise 10000, P2:call, P6:sm, P2:sm",,,,2s As Jc,Ah,3d
93,93_44_44,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:call, P2:call","P1:call, P2:raise 250, P6:fold, P1:fold",,,Ts 7c 6s,,
93,93_45_45,50,100,6,"P3:raise 200, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 225, P2:fold",,,4s Qs Jh,,
93,93_46_46,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:call, P2:call","P1:raise 100, P2:fold",,,Ah Qc 2c,,
93,93_47_47,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:call","P2:call, P5:raise 175, P2:fold",,,2c 9c Qh,,
93,93_48_48,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:call","P2:call, P5:raise 250, P2:call","P2:call, P5:raise 1000, P2:call","P2:call, P5:raise 3000, P2:fold",Jd 2s 7s,5d,2c
93,93_49_49,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 244, P1:fold, P2:fold",,,,,,
93,93_50_50,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:call, P2:call","P1:call, P2:call","P1:call, P2:call","P1:call, P2:raise 150, P1:call, P2:sm, P1:sm",2c 5d 9d,2h,3h
93,93_51_51,50,100,6,"P3:raise 250, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
93,93_52_52,50,100,6,"P3:fold, P4:raise 225, P5:call, P6:fold, P1:fold, P2:fold","P4:raise 450, P5:call","P4:raise 999, P5:call","P4:call, P5:call, P4:sm, P5:sm",9s 2h 6h,Qs,Th
93,93_53_53,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:call","P2:call, P3:call","P2:call, P3:call, P2:sm, P3:sm",9d Kd 6c,Ah,Qh
93,93_54_54,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_55_55,50,100,6,"P3:raise 225, P4:raise 700, P5:fold, P6:fold, P1:fold, P2:fold, P3:call","P3:call, P4:raise 500, P3:fold",,,Ks 6s 6h,,
93,93_56_56,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
93,93_57_57,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
93,93_58_58,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 250, P2:fold",,,4h 6d As,,
93,93_59_59,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:fold, P2:fold",,,,,,
93,93_60_60,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_61_61,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P3:raise 375, P2:call","P2:call, P3:raise 1900, P2:fold",,3s Js 5c,8d,
93,93_62_62,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:call, P1:fold, P2:call","P2:call, P4:call, P6:call","P2:call, P4:call, P6:call","P2:call, P4:call, P6:call, P2:sm, P4:sm, P6:sm",Js 2s Qh,8c,9d
93,93_63_63,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:call","P2:call, P6:call","P2:raise 375, P6:call","P2:raise 950, P6:fold",3s Ad 8s,Jd,5c
93,93_64_64,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:raise 900, P2:fold, P5:call","P1:call, P5:call","P1:call, P5:call","P1:call, P5:raise 825, P1:fold",Qs 6h Kc,Js,2d
93,93_65_65,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 200, P2:fold",,,,,,
93,93_66_66,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_67_67,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_68_68,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 250, P2:fold",,,,,,
93,93_69_69,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
93,93_70_70,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 225, P1:fold, P2:call","P2:call, P6:call","P2:call, P6:call","P2:call, P6:raise 300, P2:call, P6:sm, P2:sm",5s 9s Jh,4d,As
93,93_71_71,50,100,6,"P3:raise 225, P4:fold, P5:raise 720, P6:fold, P1:fold, P2:fold, P3:fold",,,,,,
93,93_72_72,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:fold, P2:fold",,,,,,
94,94_0_0,50,100,6,"P3:fold, P4:fold, P5:raise 200, P6:fold, P1:fold, P2:call","P2:call, P5:raise 135, P2:call","P2:call, P5:call","P2:call, P5:call, P2:sm, P5:sm",Kd Qh 3c,2s,2h
94,94_1_1,50,100,6,"P3:fold, P4:fold, P5:fold, P6:raise 250, P1:call, P2:fold","P1:call, P6:raise 300, P1:call","P1:call, P6:raise 600, P1:call","P1:call, P6:call, P1:sm, P6:sm",Kd Ah 8c,9h,Kc
94,94_2_2,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:raise 675, P1:fold, P2:fold, P5:call","P5:call, P6:raise 675, P5:fold",,,3h 9d 4h,,
94,94_3_3,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 250, P2:call","P2:call, P4:call","P2:raise 800, P4:fold",4d 5d Qh,9d,Th
94,94_4_4,50,100,6,"P3:fold, P4:raise 225, P5:call, P6:fold, P1:fold, P2:call","P2:call, P4:call, P5:call","P2:call, P4:call, P5:raise 505, P2:fold, P4:fold",,3c Tc Qs,8d,
94,94_5_5,50,100,6,"P3:fold, P4:fold, P5:raise 210, P6:fold, P1:fold, P2:fold",,,,,,
94,94_6_6,50,100,6,"P3:raise 225, P4:fold, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_7_7,50,100,6,"P3:fold, P4:raise 200, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 405, P2:fold",,,Jh 8d 4d,,
94,94_8_8,50,100,6,"P3:fold, P4:fold, P5:raise 225, P6:fold, P1:call, P2:fold","P1:call, P5:raise 350, P1:call","P1:call, P5:call","P1:raise 937, P5:fold",8c Qd 3c,2s,2d
94,94_9_9,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:fold",,,,,,
94,94_10_10,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:raise 235, P2:fold",,,,,,
94,94_11_11,50,100,6,"P3:fold, P4:raise 225, P5:fold, P6:fold, P1:fold, P2:call","P2:call, P4:raise 250, P2:call","P2:call, P4:call","P2:call, P4:raise 650, P2:call, P4:sm, P2:sm",5d 2s Td,Th,2h
94,94_12_12,50,100,6,"P3:fold, P4:fold, P5:fold, P6:fold, P1:fold",,,,,,
94,94_13_13,50,100,6,"P3:raise 210, P4:fold, P5:raise 1025, P6:fold, P1:fold, P2:fold, P3:call","P3:call, P5:call","P3:call, P5:raise 2200, P3:fold",,Jd Jc 2c,Ac,
